Дата время;Код инструмента;ТФ;Период;Пункт;Шаг;%
26.04.2021 16:53:01;ATCO.US;D;25;0.4;40;2.82
26.04.2021 16:53:04;ATCX.US;D;25;0.48;48;4.71
26.04.2021 16:53:06;ATO.US;D;25;1.65;165;1.6
26.04.2021 16:53:10;ATNI.US;D;25;2.06;206;4.18
26.04.2021 16:53:15;ATOS.US;D;25;0.17;17;9.55
26.04.2021 16:53:18;ATRC.US;D;25;2.28;228;3.32
26.04.2021 16:53:22;AUBN.US;D;25;1.51;151;4.14
26.04.2021 16:53:25;AUDC.US;D;25;0.78;78;2.55
26.04.2021 16:53:26;AUPH.US;D;25;0.43;43;3.44
26.04.2021 16:53:27;EARS.US;D;25;0.41;41;12.17
26.04.2021 16:53:29;ACB.US;D;25;0.47;47;5.65
26.04.2021 16:53:44;ADSK.US;D;25;6.44;644;2.18
26.04.2021 16:53:47;ATHM.US;D;25;2.75;275;2.94
26.04.2021 16:53:51;ALV.US;D;25;2.04;204;1.92
26.04.2021 16:53:52;AUTL.US;D;25;0.4;40;7.04
26.04.2021 16:53:54;ADP.US;D;25;3.02;302;1.54
26.04.2021 16:53:56;AN.US;D;25;3.12;312;3.06
26.04.2021 16:53:59;AZO.US;D;25;28.74;2874;1.96
26.04.2021 16:54:03;AVLR.US;D;25;5.36;536;3.65
26.04.2021 16:54:06;AWX.US;D;25;0.26;26;7.45
26.04.2021 16:54:08;AVB.US;D;25;3.0;300;1.54
26.04.2021 16:54:11;AVNS.US;D;25;1.1;110;2.45
26.04.2021 16:54:13;AVTR.US;D;25;0.8;80;2.4
26.04.2021 16:54:16;AVYA.US;D;25;1.32;132;4.55
26.04.2021 16:54:18;AVEO.US;D;25;0.51;51;7.23
26.04.2021 16:54:22;AVY.US;D;25;4.02;402;1.99
26.04.2021 16:54:25;AVID.US;D;25;1.11;111;5.22
26.04.2021 16:54:26;AVNT.US;D;25;1.48;148;2.92
26.04.2021 16:54:28;AVGR.US;D;25;0.14;14;11.86
26.04.2021 16:54:38;CAR.US;D;25;3.04;304;3.61
26.04.2021 16:54:40;AVA.US;D;25;0.93;93;1.99
